description,grams
"Peanut butter, reduced fat",0.20488707429766606
"Peanut butter, vitamin and mineral fortified",0.11352630704948297
Trail mix with nuts,0.4525646790247251
"Sunflower seeds, flavored",0.5681228737843824
"Oatmeal, from fast food, plain",2.891519032478307
"Oatmeal, regular or quick, made with non-dairy milk, no added fat",0.44457270428210904
"Oatmeal, instant, plain, made with water, no added fat",10.657377840440319
"Oatmeal, instant, plain, made with non-dairy milk, no added fat",0.476285004135768
"Oatmeal, multigrain, no added fat",10.243594446161985
"Beet greens, raw",83.54112979289248
"Collards, raw",16.977812217348287
"Collards, fresh, cooked, no added fat",24.653883269879984
"Collards, frozen, cooked, no added fat",2.876771144710588
"Collards, frozen, cooked, fat added, NS as to fat type",2.399544902093176
"Collards, fresh, cooked with oil",1.5631880156572464
"Collards, frozen, cooked with oil",0.5774960429132392
"Collards, frozen, cooked with butter or margarine",0.47474092519959044
"Dandelion greens, raw",5.784984280269256
"Dandelion greens, cooked",1.5571074278675212
"Escarole, cooked",0.2221208345504877
"Greens, fresh, cooked, no added fat",0.1813490697948339
"Greens, frozen, cooked, no added fat",0.8802846320362434
"Kale, raw",1.1572713919466793
"Mustard greens, frozen, cooked, no added fat",9.131140744086075
"Turnip greens, fresh, cooked, no added fat",16.82198380332416
"Cassava, cooked",0.5704504890601925
"Yam, cooked, Puerto Rican",6.638088745651949
Fufu,0.8669492436375492
Poi,3.9723985840135256
"Lima beans, from frozen, no added fat",1.6945846421588584
"Lima beans and corn, cooked, no added fat",1.18480007464985
"Lima beans and corn, cooked, fat added",1.4786915919842158
"Avocado, raw",0.21021634764739616
"Alfalfa sprouts, raw",1.9411231629865355
"Asparagus, frozen, cooked, no added fat",0.840110676935879
"Lotus root, cooked",3.279724176267962
"Classic mixed vegetables, frozen, cooked, no added fat",0.11220230640613948
"Jai, Monk's Food",0.5585379641285471
"Pasta, vegetable, cooked",4.72770631445929
"Noodles, cooked",1.4024507095639294
"Noodles, vegetable, cooked",3.0660059258460493
"Long rice noodles, made from mung beans, cooked",10.261435291401533
"Rice noodles, cooked",8.2982028004853
"Pasta, cooked",2.8708993751536127
"Pasta, gluten free",1.2212745711932982
"Barley, fat added",1.9808503812528855
"Buckwheat groats, fat added",0.6628756882397724
"Millet, fat added",1.0542924525198671
"Quinoa, no added fat",1.0291134307852445
"Bulgur, fat added",0.936942421063236
"Couscous, plain, cooked",4.080564584914725
"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten",0.12764542399477108
"Pork, spareribs, barbecued, with sauce, lean only eaten",0.10623543571306002
"Pork, neck bones, cooked",0.5025890310605519
Pork skin rinds,0.15926280180398322
"Yogurt, soy",2.308289387884521
"Bacon strip, meatless",0.17762966263621394
"Breakfast link, pattie, or slice, meatless",0.25449677632263246
"Chicken, meatless, NFS",0.4001912638431193
"Chicken, meatless, breaded, fried",0.6562669780608488
"Sandwich spread, meat substitute type",0.1212916295113331
"Vegetarian, fillet",0.23045238131409462
"Soyburger, meatless, with cheese on bun",0.32175147920288083
"Meat substitute, cereal- and vegetable protein-based, fried",0.47383383045058736
"Rice, white, cooked, made with oil",0.8886798895547443
"Rice, white, cooked, made with butter",0.3601528921651109
"Rice, white, cooked, made with margarine",2.4130906960277088
"Rice, white, cooked, fat added, NS as to fat type",2.429697708841161
"Rice, brown, cooked, fat added, made with oil",1.7968330145615496
"Rice, brown, cooked, made with butter",0.7447468956447878
"Rice, brown, cooked, made with margarine",2.122345436721673
"Rice, brown, cooked, fat added, NS as to fat type",1.7843810650170155
Congee,12.205736646209786
"Yellow rice, cooked, fat added",0.42762582222550805
"Rice, white, cooked, glutinous",2.875576224305121
"Rice, wild, 100%, cooked, no added fat",4.828600913329062
"Rice, white and wild, cooked, no added fat",2.9718282171364407
"Rice, brown and wild, cooked, no added fat",2.084109303293147
"Rice, brown and wild, cooked, fat added",0.8262574564055214
"Rice, brown and wild, cooked, NS as to fat",0.3594086700740462
"Rice, white, cooked with fat, Puerto Rican style",0.1959350570610141
"Octopus, dried",0.10768208397049796
"Squid, steamed or boiled",0.489130613273403
"Squid, canned",0.1194518877495554
"Abalone, cooked, NS as to cooking method",0.2088565776872997
"Clams, raw",0.1622104316256312
"Clams, baked or broiled, no added fat",0.12589226557544464
"Clams, steamed or boiled",0.3239544160731356
"Clams, canned",0.8148583964073808
"Crab, soft shell, coated, fried",1.119991207853488
"Lobster, coated, fried",0.11931490898398067
"Oysters, coated, baked or broiled, fat added",0.44748903568461174
"Scallops, baked or broiled, no added fat",0.2117910453881322
"Scallops, coated, baked or broiled, no added fat",0.3026662198433172
"Shrimp, baked or broiled, no added fat",0.4758589152656256
"Shrimp, coated, baked or broiled, made with margarine",0.165568050479159
"Shrimp, coated, baked or broiled, made with cooking spray",0.14103771276765542
"Shrimp, canned",0.10814733956650002
"Spinach, fresh, cooked, no added fat",0.9562169133552345
"Turkey, light meat, breaded, baked or fried, skin not eaten",0.9642151730284709
"Turkey, light meat, breaded, baked or fried, skin eaten",0.35006181534154024
"Turkey, dark meat, roasted, skin eaten",0.11368124551065506
"Turkey, light or dark meat, fried, coated, skin not eaten",1.0950356077701784
"Turkey light or dark meat, stewed, skin eaten",0.12014382022673686
"Turkey, nuggets",0.15479067243155953
"Beef, bacon, reduced sodium, cooked",1.1049996504418402
"Bacon, NS as to type of meat, reduced sodium, cooked",0.263814464043044
"Beans, from dried, NS as to type, fat added",0.7034544837313916
"White beans, NFS",0.3448566540484421
"White beans, from canned, fat added",0.6356425015676237
"Black beans, NFS",0.880140523906725
"Black beans, from canned, reduced sodium",0.770517952573968
"Lima beans, from dried",0.47542099582962294
"Pinto beans, from dried, fat added",0.7972878095930724
"Pinto beans, from canned, fat added",1.116551343998573
"Kidney beans, from dried, fat added",0.13685253939250686
"Chickpeas, from dried, fat added",0.3583615495269754
